"OrderID","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice"
"10248","11","Queso Cabrales","14.00","12","0.00","168.0000"
"10248","42","Singaporean Hokkien Fried Mee","9.80","10","0.00","98.0000"
"10248","72","Mozzarella di Giovanni","34.80","5","0.00","174.0000"
"10249","14","Tofu","18.60","9","0.00","167.4000"
"10249","51","Manjimup Dried Apples","42.40","40","0.00","1696.0000"
"10250","41","Jack's New England Clam Chowder","7.70","10","0.00","77.0000"
"10250","51","Manjimup Dried Apples","42.40","35","0.15","1261.4000"
"10250","65","Louisiana Fiery Hot Pepper Sauce","16.80","15","0.15","214.2000"
"10251","22","Gustaf's Knäckebröd","16.80","6","0.05","95.7600"
"10251","57","Ravioli Angelo","15.60","15","0.05","222.3000"
"10251","65","Louisiana Fiery Hot Pepper Sauce","16.80","20","0.00","336.0000"
"10252","20","Sir Rodney's Marmalade","64.80","40","0.05","2462.4000"
"10252","33","Geitost","2.00","25","0.05","47.5000"
"10252","60","Camembert Pierrot","27.20","40","0.00","1088.0000"
"10253","31","Gorgonzola Telino","10.00","20","0.00","200.0000"
"10253","39","Chartreuse verte","14.40","42","0.00","604.8000"
"10253","49","Maxilaku","16.00","40","0.00","640.0000"
"10254","24","Guaraná Fantástica","3.60","15","0.15","45.9000"
"10254","55","Pâté chinois","19.20","21","0.15","342.7200"
"10254","74","Longlife Tofu","8.00","21","0.00","168.0000"
"10255","2","Chang","15.20","20","0.00","304.0000"
"10255","16","Pavlova","13.90","35","0.00","486.5000"
"10255","36","Inlagd Sill","15.20","25","0.00","380.0000"
"10255","59","Raclette Courdavault","44.00","30","0.00","1320.0000"
"10256","53","Perth Pasties","26.20","15","0.00","393.0000"
"10256","77","Original Frankfurter grüne Soße","10.40","12","0.00","124.8000"
"10257","27","Schoggi Schokolade","35.10","25","0.00","877.5000"
"10257","39","Chartreuse verte","14.40","6","0.00","86.4000"
"10257","77","Original Frankfurter grüne Soße","10.40","15","0.00","156.0000"
"10258","2","Chang","15.20","50","0.20","608.0000"
"10258","5","Chef Anton's Gumbo Mix","17.00","65","0.20","884.0000"
"10258","32","Mascarpone Fabioli","25.60","6","0.20","122.8800"
"10259","21","Sir Rodney's Scones","8.00","10","0.00","80.0000"
"10259","37","Gravad lax","20.80","1","0.00","20.8000"
"10260","41","Jack's New England Clam Chowder","7.70","16","0.25","92.4000"
"10260","57","Ravioli Angelo","15.60","50","0.00","780.0000"
"10260","62","Tarte au sucre","39.40","15","0.25","443.2500"
"10260","70","Outback Lager","12.00","21","0.25","189.0000"
"10261","21","Sir Rodney's Scones","8.00","20","0.00","160.0000"
"10261","35","Steeleye Stout","14.40","20","0.00","288.0000"
"10262","5","Chef Anton's Gumbo Mix","17.00","12","0.20","163.2000"
"10262","7","Uncle Bob's Organic Dried Pears","24.00","15","0.00","360.0000"
"10262","56","Gnocchi di nonna Alice","30.40","2","0.00","60.8000"
