"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry","CompanyName","Address","City","Region","PostalCode","Country"
"10248","VINET","5","","","","3","16.75","Vins et alcools Chevalier","59 rue de l-Abbaye","Reims","Western Europe","51100","France","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","Western Europe","51100","France"
"10249","TOMSP","6","","","","1","22.25","Toms Spezialitäten","Luisenstr. 48","Münster","Western Europe","44087","Germany","Toms Spezialitäten","Luisenstr. 48","Münster","Western Europe","44087","Germany"
"10250","HANAR","4","","","","2","25","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America","05454-876","Brazil","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America","05454-876","Brazil"
"10251","VICTE","3","","","","1","20.25","Victuailles en stock","2, rue du Commerce","Lyon","Western Europe","69004","France","Victuailles en stock","2, rue du Commerce","Lyon","Western Europe","69004","France"
"10252","SUPRD","4","","","","2","36.25","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Western Europe","B-6000","Belgium","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Western Europe","B-6000","Belgium"
"10253","HANAR","3","","","","2","35.5","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America","05454-876","Brazil","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America","05454-876","Brazil"
"10254","CHOPS","5","","","","2","24.25","Chop-suey Chinese","Hauptstr. 31","Bern","Western Europe","3012","Switzerland","Chop-suey Chinese","Hauptstr. 29","Bern","Western Europe","3012","Switzerland"
"10255","RICSU","9","","","","3","37.5","Richter Supermarkt","Starenweg 5","Genève","Western Europe","1204","Switzerland","Richter Supermarkt","Grenzacherweg 237","Genève","Western Europe","1203","Switzerland"
"10256","WELLI","3","","","","2","16.75","Wellington Importadora","Rua do Mercado, 12","Resende","South America","08737-363","Brazil","Wellington Importadora","Rua do Mercado, 12","Resende","South America","08737-363","Brazil"
"10257","HILAA","4","","","","3","21.5","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","South America","5022","Venezuela","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","South America","5022","Venezuela"
