"OrderID","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice"
"10248","11","Queso Cabrales","14","12","0.0","168.0"
"10248","42","Singaporean Hokkien Fried Mee","9.8","10","0.0","98.0"
"10248","72","Mozzarella di Giovanni","34.8","5","0.0","174.0"
"10249","14","Tofu","18.6","9","0.0","167.4"
"10249","51","Manjimup Dried Apples","42.4","40","0.0","1696.0"
"10250","41","Jack's New England Clam Chowder","7.7","10","0.0","77.0"
"10250","51","Manjimup Dried Apples","42.4","35","0.15","1261.4"
"10250","65","Louisiana Fiery Hot Pepper Sauce","16.8","15","0.15","214.2"
"10251","22","Gustaf's Knäckebröd","16.8","6","0.05","95.76"
"10251","57","Ravioli Angelo","15.6","15","0.05","222.3"
"10251","65","Louisiana Fiery Hot Pepper Sauce","16.8","20","0.0","336.0"
"10252","20","Sir Rodney's Marmalade","64.8","40","0.05","2462.4"
"10252","33","Geitost","2","25","0.05","47.5"
"10252","60","Camembert Pierrot","27.2","40","0.0","1088.0"
"10253","31","Gorgonzola Telino","10","20","0.0","200.0"
"10253","39","Chartreuse verte","14.4","42","0.0","604.8"
"10253","49","Maxilaku","16","40","0.0","640.0"
"10254","24","Guaraná Fantástica","3.6","15","0.15","45.9"
"10254","55","Pâté chinois","19.2","21","0.15","342.72"
"10254","74","Longlife Tofu","8","21","0.0","168.0"
"10255","2","Chang","15.2","20","0.0","304.0"
"10255","16","Pavlova","13.9","35","0.0","486.5"
"10255","36","Inlagd Sill","15.2","25","0.0","380.0"
"10255","59","Raclette Courdavault","44","30","0.0","1320.0"
"10256","53","Perth Pasties","26.2","15","0.0","393.0"
"10256","77","Original Frankfurter grüne Soße","10.4","12","0.0","124.8"
"10257","27","Schoggi Schokolade","35.1","25","0.0","877.5"
"10257","39","Chartreuse verte","14.4","6","0.0","86.4"
"10257","77","Original Frankfurter grüne Soße","10.4","15","0.0","156.0"
"10258","2","Chang","15.2","50","0.2","608.0"
"10258","5","Chef Anton's Gumbo Mix","17","65","0.2","884.0"
"10258","32","Mascarpone Fabioli","25.6","6","0.2","122.88"
"10259","21","Sir Rodney's Scones","8","10","0.0","80.0"
"10259","37","Gravad lax","20.8","1","0.0","20.8"
"10260","41","Jack's New England Clam Chowder","7.7","16","0.25","92.4"
"10260","57","Ravioli Angelo","15.6","50","0.0","780.0"
"10260","62","Tarte au sucre","39.4","15","0.25","443.25"
"10260","70","Outback Lager","12","21","0.25","189.0"
"10261","21","Sir Rodney's Scones","8","20","0.0","160.0"
"10261","35","Steeleye Stout","14.4","20","0.0","288.0"
"10262","5","Chef Anton's Gumbo Mix","17","12","0.2","163.2"
"10262","7","Uncle Bob's Organic Dried Pears","24","15","0.0","360.0"
"10262","56","Gnocchi di nonna Alice","30.4","2","0.0","60.8"
"10263","16","Pavlova","13.9","60","0.25","625.5"
"10263","24","Guaraná Fantástica","3.6","28","0.0","100.8"
"10263","30","Nord-Ost Matjeshering","20.7","60","0.25","931.5"
"10263","74","Longlife Tofu","8","36","0.25","216.0"
"10264","2","Chang","15.2","35","0.0","532.0"
"10264","41","Jack's New England Clam Chowder","7.7","25","0.15","163.625"
"10265","17","Alice Mutton","31.2","30","0.0","936.0"
"10265","70","Outback Lager","12","20","0.0","240.0"
"10266","12","Queso Manchego La Pastora","30.4","12","0.05","346.56"
"10267","40","Boston Crab Meat","14.7","50","0.0","735.0"
"10267","59","Raclette Courdavault","44","70","0.15","2618.0"
"10267","76","Lakkalikööri","14.4","15","0.15","183.6"
"10268","29","Thüringer Rostbratwurst","99","10","0.0","990.0"
"10268","72","Mozzarella di Giovanni","27.8","4","0.0","111.2"
"10269","33","Geitost","2","60","0.05","114.0"
"10269","72","Mozzarella di Giovanni","27.8","20","0.05","528.2"
"10270","36","Inlagd Sill","15.2","30","0.0","456.0"
"10270","43","Ipoh Coffee","36.8","25","0.0","920.0"
"10271","33","Geitost","2","24","0.0","48.0"
"10272","20","Sir Rodney's Marmalade","64.8","6","0.0","388.8"
"10272","31","Gorgonzola Telino","10","40","0.0","400.0"
"10272","72","Mozzarella di Giovanni","27.8","24","0.0","667.2"
"10273","10","Ikura","24.8","24","0.05","565.44"
"10273","31","Gorgonzola Telino","10","15","0.05","142.5"
"10273","33","Geitost","2","20","0.0","40.0"
"10273","40","Boston Crab Meat","14.7","60","0.05","837.9"
"10273","76","Lakkalikööri","14.4","33","0.05","451.44"
"10274","71","Flotemysost","17.2","20","0.0","344.0"
"10274","72","Mozzarella di Giovanni","27.8","7","0.0","194.6"
"10275","24","Guaraná Fantástica","3.6","12","0.05","41.04"
"10275","59","Raclette Courdavault","44","6","0.05","250.8"
"10276","10","Ikura","24.8","15","0.0","372.0"
"10276","13","Konbu","4.8","10","0.0","48.0"
"10277","28","Rössle Sauerkraut","36.4","20","0.0","728.0"
"10277","62","Tarte au sucre","39.4","12","0.0","472.8"
