"ProductName","UnitPrice"
"Uncle Bob's Organic Dried Pears","30"
"Northwoods Cranberry Sauce","40"
"Mishi Kobe Niku","97"
"Ikura","31"
"Queso Manchego La Pastora","38"
"Alice Mutton","39"
"Carnarvon Tigers","62.5"
"Sir Rodney's Marmalade","81"
"Gumbär Gummibärchen","31.23"
"Schoggi Schokolade","43.9"
"Rössle Sauerkraut","45.6"
"Thüringer Rostbratwurst","123.79"
"Mascarpone Fabioli","32"
"Côte de Blaye","263.5"
"Ipoh Coffee","46"
"Manjimup Dried Apples","53"
"Perth Pasties","32.8"
"Gnocchi di nonna Alice","38"
"Raclette Courdavault","55"
"Camembert Pierrot","34"
"Tarte au sucre","49.3"
"Vegie-spread","43.9"
"Wimmers gute Semmelknödel","33.25"
"Gudbrandsdalsost","36"
"Mozzarella di Giovanni","34.8"
